"","IMPORTETOTAL","SEXO","FORMAPAGO","ESTADOCIVIL"
"16275",117.955,"Hombre","Tarjeta de Crédito","Divorciado/a"
"16276",164.0425,"Hombre","Tarjeta de Crédito","Divorciado/a"
"16277",30.3125,"Hombre","Tarjeta de Crédito","Soltero/a"
"16278",9.95,"Hombre","Tarjeta de Crédito","Soltero/a"
"16279",129.1125,"Mujer","Tarjeta de Crédito","Casado/a"
"16280",45.575,"Mujer","Tarjeta de Crédito","Casado/a"
"16281",89.47,"Mujer","Tarjeta de Crédito","Casado/a"
"16282",7.45,"Mujer","Otra Tarjeta","Casado/a"
"16283",59.45,"Mujer","Tarjeta de Crédito","Casado/a"
"16284",122.47,"Mujer","Tarjeta de Crédito","Casado/a"
"16285",34.125,"Mujer","Cheque","Casado/a"
"16286",9.5875,"Mujer","Cheque","Casado/a"
"16287",14.31,"Mujer","Tarjeta de Crédito","Casado/a"
"16288",72.275,"Mujer","Otra Tarjeta","Casado/a"
"16289",34.45,"Hombre","Tarjeta de Crédito","Divorciado/a"
"16290",32.675,"Hombre","Tarjeta de Crédito","Divorciado/a"
"16291",48.95,"Hombre","Cheque","Divorciado/a"
"16292",53.35,"Hombre","Tarjeta de Crédito","Divorciado/a"
"16293",579.18,"Empresa","Tarjeta de Crédito",""
"16294",277.97,"Empresa","Tarjeta de Crédito",""
"16295",204.25,"Empresa","Tarjeta de Crédito",""
"16296",252.41,"Empresa","Tarjeta de Crédito",""
"16297",137.63,"Hombre","Cheque","Casado/a"
"16298",44.49,"Hombre","Cheque","Casado/a"
"16299",63.6,"Hombre","Tarjeta de Crédito","Casado/a"
"16300",93.64,"Hombre","Tarjeta de Crédito","Casado/a"
"16301",25,"Mujer","Otra Tarjeta","Divorciado/a"
"16302",9.5875,"Mujer","Cheque","Divorciado/a"
"16303",29.5875,"Mujer","Cheque","Divorciado/a"
"16304",84.59,"Mujer","Cheque","Divorciado/a"
"16305",22.5,"Hombre","Tarjeta de Crédito","Divorciado/a"
"16306",56.75,"Hombre","Tarjeta de Crédito","Casado/a"
"16307",18.5,"Hombre","Tarjeta de Crédito","Casado/a"
"16308",4.725,"Hombre","Cheque","Casado/a"
"16309",107.45,"Empresa","Tarjeta de Crédito",""
"16310",26,"Empresa","Cheque",""
"16311",273.4,"Empresa","Tarjeta de Crédito",""
"16312",87.66,"Empresa","Tarjeta de Crédito",""
"16313",31.425,"Mujer","Cheque","Casado/a"
"16314",10.075,"Mujer","Tarjeta de Crédito","Casado/a"
"16315",118.65,"Mujer","Tarjeta de Crédito","Casado/a"
"16316",26.7825,"Mujer","Tarjeta de Crédito","Casado/a"
"16317",71,"Mujer","Tarjeta de Crédito","Divorciado/a"
"16318",82.255,"Mujer","Tarjeta de Crédito","Divorciado/a"
"16319",39.2275,"Empresa","Tarjeta de Crédito",""
"16320",50.0375,"Empresa","Otra Tarjeta",""
"16321",8.7,"Hombre","Otra Tarjeta","Soltero/a"
"16322",18.5625,"Hombre","Tarjeta de Crédito","Soltero/a"
"16323",22.4,"Mujer","Cheque","Soltero/a"
"16324",59.15,"Hombre","Tarjeta de Crédito","Soltero/a"
"16325",95,"Hombre","Tarjeta de Crédito","Soltero/a"
"16326",28.285,"Hombre","Efectivo","Soltero/a"
"16327",19.95,"Hombre","Tarjeta de Crédito","Divorciado/a"
"16328",104.155,"Empresa","Tarjeta de Crédito",""
"16329",19.02,"Empresa","Efectivo",""
"16330",154.095,"Empresa","Tarjeta de Crédito",""
"16331",102.275,"Empresa","Tarjeta de Crédito",""
"16332",72.7125,"Empresa","Tarjeta de Crédito",""
"16333",52.72,"Empresa","Otra Tarjeta",""
"16334",3.725,"Hombre","Cheque","Soltero/a"
"16335",51.75,"Mujer","Tarjeta de Crédito","Casado/a"
"16336",3.95,"Mujer","Otra Tarjeta","Casado/a"
"16337",20.5825,"Mujer","Efectivo","Casado/a"
"16338",12.11,"Mujer","Tarjeta de Crédito","Casado/a"
"16339",22.5,"Hombre","Cheque","Divorciado/a"
"16340",41.675,"Hombre","Cheque","Divorciado/a"
"16341",41.16,"Hombre","Cheque","Divorciado/a"
"16342",102.5075,"Hombre","Tarjeta de Crédito","Divorciado/a"
"16343",9.04,"Mujer","Tarjeta de Crédito","Casado/a"
"16344",32.0125,"Mujer","Tarjeta de Crédito","Casado/a"
"16345",53.33,"Mujer","Tarjeta de Crédito","Casado/a"
"16346",42.5,"Mujer","Otra Tarjeta","Casado/a"
"16347",3.725,"Hombre","Tarjeta de Crédito","Soltero/a"
"16348",6.225,"Hombre","Tarjeta de Crédito","Soltero/a"
"16349",33.25,"Hombre","Efectivo","Soltero/a"
"16350",9.5875,"Hombre","Efectivo","Soltero/a"
"16351",98.8,"Mujer","Cheque","Casado/a"
"16352",36.125,"Mujer","Otra Tarjeta","Casado/a"
"16353",14.625,"Mujer","Tarjeta de Crédito","Casado/a"
"16354",40.4125,"Mujer","Tarjeta de Crédito","Casado/a"
"16355",49.1,"Mujer","Cheque","Casado/a"
"16356",130.93,"Mujer","Tarjeta de Crédito","Casado/a"
"16357",56.95,"Mujer","Tarjeta de Crédito","Casado/a"
"16358",55.175,"Mujer","Otra Tarjeta","Casado/a"
"16359",150.4525,"Mujer","Efectivo","Casado/a"
"16360",56.05,"Mujer","Cheque","Casado/a"
"16361",75.275,"Mujer","Efectivo","Casado/a"
"16362",78.95,"Hombre","Cheque","Divorciado/a"
"16363",29.81,"Hombre","Tarjeta de Crédito","Divorciado/a"
"16364",13.225,"Hombre","Otra Tarjeta","Divorciado/a"
"16365",66.35,"Hombre","Cheque","Divorciado/a"
"16366",85.14,"Empresa","Tarjeta de Crédito",""
"16367",229.1125,"Empresa","Cheque",""
"16368",494.5625,"Empresa","Tarjeta de Crédito",""
"16369",242.2,"Empresa","Efectivo",""
"16370",30.2875,"Hombre","Otra Tarjeta","Casado/a"
"16371",45.25,"Hombre","Tarjeta de Crédito","Casado/a"
"16372",37.85,"Hombre","Tarjeta de Crédito","Casado/a"
"16373",74.9875,"Hombre","Otra Tarjeta","Casado/a"
"16374",54.475,"Mujer","Tarjeta de Crédito","Divorciado/a"
"16375",6.75,"Mujer","Otra Tarjeta","Divorciado/a"
"16376",45.01,"Mujer","Cheque","Divorciado/a"
"16377",17.8375,"Mujer","Tarjeta de Crédito","Divorciado/a"
"16378",13.75,"Hombre","Cheque","Casado/a"
"16379",37.85,"Hombre","Otra Tarjeta","Casado/a"
"16380",23.95,"Hombre","Tarjeta de Crédito","Casado/a"
"16381",46.0625,"Empresa","Efectivo",""
"16382",310.57,"Empresa","Tarjeta de Crédito",""
"16383",62.64,"Empresa","Tarjeta de Crédito",""
"16384",28.6375,"Empresa","Cheque",""
"16385",57.89,"Mujer","Otra Tarjeta","Casado/a"
"16386",11,"Mujer","Cheque","Casado/a"
"16387",45.625,"Hombre","Tarjeta de Crédito","Divorciado/a"
"16388",87.8875,"Hombre","Cheque","Divorciado/a"
"16389",53.5075,"Mujer","Tarjeta de Crédito","Divorciado/a"
"16390",68.95,"Mujer","Cheque","Divorciado/a"
"16391",37.52,"Mujer","Tarjeta de Crédito","Divorciado/a"
"16392",22.7175,"Hombre","Tarjeta de Crédito","Soltero/a"
"16393",26.35,"Hombre","Efectivo","Soltero/a"
"16394",34.0125,"Hombre","Tarjeta de Crédito","Soltero/a"
"16395",46.3975,"Mujer","Tarjeta de Crédito","Soltero/a"
"16396",51.29,"Hombre","Cheque","Soltero/a"
"16397",125.5975,"Hombre","Otra Tarjeta","Soltero/a"
"16398",44.2975,"Hombre","Tarjeta de Crédito","Soltero/a"
"16399",84.55,"Hombre","Tarjeta de Crédito","Soltero/a"
"16400",27.5,"Hombre","Tarjeta de Crédito","Divorciado/a"
"16401",7,"Hombre","Tarjeta de Crédito","Divorciado/a"
"16402",334.67,"Empresa","Tarjeta de Crédito",""
"16403",204.325,"Empresa","Cheque",""
"16404",225.29,"Empresa","Otra Tarjeta",""
"16405",438.4375,"Empresa","Cheque",""
"16406",227.075,"Empresa","Tarjeta de Crédito",""
"16407",380.93,"Empresa","Tarjeta de Crédito",""
"16408",59.0625,"Empresa","Efectivo",""
"16409",3.5,"Empresa","Tarjeta de Crédito",""
"16410",4.975,"Hombre","Cheque","Soltero/a"
"16411",34.575,"Hombre","Efectivo","Soltero/a"
"16412",33.91,"Mujer","Tarjeta de Crédito","Casado/a"
"16413",22.5,"Mujer","Cheque","Casado/a"
"16414",8.25,"Mujer","Cheque","Casado/a"
"16415",30.135,"Mujer","Cheque","Casado/a"
"16416",20.81,"Hombre","Cheque","Divorciado/a"
"16417",52.45,"Hombre","Otra Tarjeta","Divorciado/a"
"16418",115.22,"Hombre","Tarjeta de Crédito","Divorciado/a"
"16419",101.425,"Hombre","Tarjeta de Crédito","Divorciado/a"
"16420",29.95,"Mujer","Tarjeta de Crédito","Casado/a"
"16421",20.7075,"Mujer","Tarjeta de Crédito","Casado/a"
"16422",118.01,"Mujer","Tarjeta de Crédito","Casado/a"
"16423",39.1125,"Hombre","Cheque","Soltero/a"
"16424",69.795,"Hombre","Cheque","Soltero/a"
"16425",3.5,"Hombre","Efectivo","Soltero/a"
"16426",27.1,"Mujer","Tarjeta de Crédito","Casado/a"
"16427",11.7875,"Mujer","Cheque","Casado/a"
"16428",23.27,"Mujer","Tarjeta de Crédito","Casado/a"
"16429",56.825,"Mujer","Tarjeta de Crédito","Casado/a"
"16430",137.1,"Mujer","Tarjeta de Crédito","Casado/a"
"16431",106.25,"Mujer","Cheque","Casado/a"
"16432",40.45,"Mujer","Cheque","Casado/a"
"16433",153.1425,"Mujer","Tarjeta de Crédito","Casado/a"
"16434",45.5075,"Hombre","Cheque","Divorciado/a"
"16435",51.45,"Hombre","Tarjeta de Crédito","Divorciado/a"
"16436",394.02,"Empresa","Tarjeta de Crédito",""
"16437",398.01,"Empresa","Tarjeta de Crédito",""
"16438",72,"Hombre","Cheque","Divorciado/a"
"16439",22.1625,"Hombre","Efectivo","Divorciado/a"
"16440",38.2,"Hombre","Efectivo","Divorciado/a"
"16441",16.25,"Hombre","Cheque","Divorciado/a"
"16442",71.21,"Hombre","Cheque","Casado/a"
"16443",9,"Hombre","Efectivo","Casado/a"
"16444",64.5375,"Hombre","Tarjeta de Crédito","Casado/a"
"16445",12.9375,"Mujer","Tarjeta de Crédito","Divorciado/a"
"16446",18.225,"Mujer","Cheque","Divorciado/a"
"16447",80.0975,"Mujer","Tarjeta de Crédito","Divorciado/a"
"16448",86.5,"Mujer","Tarjeta de Crédito","Casado/a"
"16449",45.92,"Empresa","Tarjeta de Crédito",""
"16450",11.75,"Mujer","Cheque","Casado/a"
"16451",58.225,"Mujer","Tarjeta de Crédito","Casado/a"
"16452",33.9,"Mujer","Tarjeta de Crédito","Casado/a"
"16453",66.7,"Hombre","Tarjeta de Crédito","Casado/a"
"16454",33.925,"Hombre","Tarjeta de Crédito","Casado/a"
"16455",34.4975,"Hombre","Otra Tarjeta","Casado/a"
"16456",62.675,"Mujer","Efectivo","Divorciado/a"
"16457",114.65,"Mujer","Cheque","Divorciado/a"
"16458",44.2,"Mujer","Cheque","Divorciado/a"
"16459",63.35,"Mujer","Tarjeta de Crédito","Divorciado/a"
"16460",4.725,"Mujer","Otra Tarjeta","Soltero/a"
"16461",35.9,"Mujer","Tarjeta de Crédito","Soltero/a"
"16462",55.95,"Mujer","Tarjeta de Crédito","Soltero/a"
"16463",17.65,"Mujer","Efectivo","Soltero/a"
"16464",18.775,"Hombre","Tarjeta de Crédito","Soltero/a"
"16465",39.85,"Hombre","Cheque","Soltero/a"
"16466",61.92,"Hombre","Otra Tarjeta","Soltero/a"
"16467",39.6875,"Hombre","Tarjeta de Crédito","Soltero/a"
"16468",30.04,"Hombre","Tarjeta de Crédito","Divorciado/a"
"16469",13,"Hombre","Efectivo","Divorciado/a"
"16470",65,"Hombre","Tarjeta de Crédito","Divorciado/a"
"16471",106.125,"Empresa","Cheque",""
"16472",193.18,"Empresa","Efectivo",""
"16473",257.2625,"Empresa","Cheque",""
"16474",170.97,"Empresa","Tarjeta de Crédito",""
"16475",375.03,"Empresa","Tarjeta de Crédito",""
"16476",445.9125,"Empresa","Cheque",""
"16477",119.2,"Empresa","Tarjeta de Crédito",""
"16478",257.13,"Empresa","Cheque",""
"16479",114.175,"Empresa","Efectivo",""
"16480",22.9125,"Mujer","Tarjeta de Crédito","Casado/a"
"16481",85.7,"Mujer","Tarjeta de Crédito","Casado/a"
"16482",3.725,"Hombre","Cheque","Soltero/a"
"16483",10.25,"Hombre","Tarjeta de Crédito","Soltero/a"
"16484",25,"Hombre","Otra Tarjeta","Soltero/a"
"16485",49.22,"Hombre","Tarjeta de Crédito","Soltero/a"
"16486",33,"Hombre","Tarjeta de Crédito","Soltero/a"
"16487",23.5,"Hombre","Tarjeta de Crédito","Soltero/a"
"16488",8.11,"Hombre","Tarjeta de Crédito","Soltero/a"
"16489",8.7,"Hombre","Tarjeta de Crédito","Soltero/a"
"16490",73.6525,"Hombre","Efectivo","Divorciado/a"
"16491",75.975,"Hombre","Tarjeta de Crédito","Divorciado/a"
"16492",102.885,"Hombre","Cheque","Divorciado/a"
"16493",36.45,"Hombre","Cheque","Divorciado/a"
"16494",12.11,"Hombre","Tarjeta de Crédito","Soltero/a"
"16495",51.035,"Hombre","Cheque","Soltero/a"
"16496",66.2125,"Hombre","Cheque","Soltero/a"
"16497",63.57,"Hombre","Tarjeta de Crédito","Soltero/a"
"16498",53.935,"Mujer","Tarjeta de Crédito","Casado/a"
"16499",93.155,"Mujer","Tarjeta de Crédito","Casado/a"
"16500",35.1625,"Mujer","Tarjeta de Crédito","Casado/a"
"16501",40.75,"Mujer","Tarjeta de Crédito","Casado/a"
"16502",63.2375,"Mujer","Cheque","Casado/a"
"16503",151.1825,"Mujer","Otra Tarjeta","Casado/a"
"16504",7.6,"Mujer","Tarjeta de Crédito","Casado/a"
"16505",81.775,"Empresa","Otra Tarjeta",""
"16506",127.9975,"Empresa","Tarjeta de Crédito",""
"16507",381.625,"Empresa","Cheque",""
"16508",338.89,"Empresa","Tarjeta de Crédito",""
"16509",52.65,"Hombre","Otra Tarjeta","Divorciado/a"
"16510",18.52,"Hombre","Efectivo","Divorciado/a"
"16511",32.6,"Hombre","Cheque","Divorciado/a"
"16512",30.175,"Hombre","Otra Tarjeta","Divorciado/a"
"16513",67.1375,"Hombre","Otra Tarjeta","Casado/a"
"16514",182.3625,"Hombre","Efectivo","Casado/a"
"16515",5.5625,"Mujer","Cheque","Divorciado/a"
"16516",34.2625,"Mujer","Tarjeta de Crédito","Divorciado/a"
"16517",14.475,"Mujer","Tarjeta de Crédito","Divorciado/a"
"16518",5.5625,"Mujer","Tarjeta de Crédito","Divorciado/a"
"16519",26.0125,"Mujer","Tarjeta de Crédito","Divorciado/a"
"16520",31.225,"Mujer","Efectivo","Casado/a"
"16521",9.5875,"Mujer","Tarjeta de Crédito","Casado/a"
"16522",31.425,"Mujer","Tarjeta de Crédito","Casado/a"
"16523",26.25,"Mujer","Cheque","Casado/a"
"16524",9.65,"Mujer","Tarjeta de Crédito","Casado/a"
"16525",48.95,"Mujer","Tarjeta de Crédito","Casado/a"
"16526",8.925,"Hombre","Tarjeta de Crédito","Casado/a"
"16527",49.4875,"Hombre","Tarjeta de Crédito","Casado/a"
"16528",22.53,"Mujer","Cheque","Divorciado/a"
"16529",49.675,"Mujer","Otra Tarjeta","Divorciado/a"
"16530",11.3125,"Mujer","Tarjeta de Crédito","Divorciado/a"
"16531",52.835,"Mujer","Tarjeta de Crédito","Divorciado/a"
"16532",13,"Mujer","Cheque","Soltero/a"
"16533",49.225,"Mujer","Cheque","Soltero/a"
"16534",9.5875,"Mujer","Cheque","Soltero/a"
"16535",70.3,"Mujer","Tarjeta de Crédito","Soltero/a"
"16536",14.9,"Hombre","Tarjeta de Crédito","Soltero/a"
"16537",34.925,"Hombre","Tarjeta de Crédito","Soltero/a"
"16538",80.94,"Hombre","Tarjeta de Crédito","Soltero/a"
"16539",33.46,"Hombre","Cheque","Soltero/a"
"16540",40.93,"Hombre","Tarjeta de Crédito","Divorciado/a"
"16541",13.7,"Hombre","Cheque","Divorciado/a"
"16542",199.0125,"Empresa","Tarjeta de Crédito",""
"16543",241.01,"Empresa","Cheque",""
"16544",56.05,"Empresa","Otra Tarjeta",""
"16545",402.325,"Empresa","Tarjeta de Crédito",""
"16546",102.01,"Empresa","Cheque",""
"16547",228.94,"Empresa","Efectivo",""
"16548",187.525,"Empresa","Tarjeta de Crédito",""
"16549",130.475,"Empresa","Otra Tarjeta",""
"16550",623.355,"Empresa","Otra Tarjeta",""
"16551",530.2675,"Empresa","Tarjeta de Crédito",""
"16552",27.485,"Hombre","Efectivo","Viudo/a"
"16553",59.9,"Mujer","Cheque","Casado/a"
"16554",31,"Mujer","Efectivo","Casado/a"
"16555",6.225,"Mujer","Tarjeta de Crédito","Casado/a"
"16556",11.125,"Hombre","Cheque","Soltero/a"
"16557",5.5625,"Hombre","Tarjeta de Crédito","Soltero/a"
"16558",23.5,"Hombre","Cheque","Soltero/a"
"16559",11.175,"Hombre","Tarjeta de Crédito","Soltero/a"
"16560",16.6825,"Hombre","Tarjeta de Crédito","Soltero/a"
"16561",16.2,"Hombre","Cheque","Soltero/a"
"16562",4.975,"Hombre","Otra Tarjeta","Soltero/a"
"16563",7.475,"Hombre","Tarjeta de Crédito","Soltero/a"
"16564",4.975,"Hombre","Tarjeta de Crédito","Divorciado/a"
"16565",156.78,"Hombre","Tarjeta de Crédito","Divorciado/a"
"16566",249.26,"Hombre","Tarjeta de Crédito","Divorciado/a"
"16567",60.475,"Mujer","Cheque","Casado/a"
"16568",56.65,"Hombre","Cheque","Soltero/a"
"16569",38.55,"Hombre","Tarjeta de Crédito","Soltero/a"
"16570",33.0125,"Hombre","Cheque","Soltero/a"
"16571",86.165,"Hombre","Tarjeta de Crédito","Soltero/a"
"16572",29.95,"Hombre","Tarjeta de Crédito","Soltero/a"
"16573",13.4,"Hombre","Tarjeta de Crédito","Soltero/a"
"16574",22,"Hombre","Cheque","Divorciado/a"
"16575",9.5875,"Hombre","Tarjeta de Crédito","Divorciado/a"
"16576",48.22,"Mujer","Tarjeta de Crédito","Soltero/a"
"16577",38.52,"Mujer","Tarjeta de Crédito","Soltero/a"
"16578",98.6775,"Mujer","Efectivo","Divorciado/a"
"16579",100.1875,"Mujer","Tarjeta de Crédito","Divorciado/a"
"16580",30.9825,"Mujer","Efectivo","Divorciado/a"
"16581",122.03,"Mujer","Tarjeta de Crédito","Divorciado/a"
"16582",148.7125,"Hombre","Efectivo","Divorciado/a"
"16583",4.975,"Hombre","Tarjeta de Crédito","Divorciado/a"
"16584",33.3125,"Hombre","Tarjeta de Crédito","Divorciado/a"
"16585",48.935,"Hombre","Otra Tarjeta","Divorciado/a"
"16586",47.15,"Hombre","Tarjeta de Crédito","Divorciado/a"
"16587",7.125,"Hombre","Tarjeta de Crédito","Divorciado/a"
"16588",45.69,"Mujer","Cheque","Soltero/a"
"16589",86.35,"Hombre","Tarjeta de Crédito","Casado/a"
"16590",18.3,"Hombre","Cheque","Casado/a"
"16591",50.36,"Hombre","Tarjeta de Crédito","Casado/a"
"16592",18.725,"Hombre","Tarjeta de Crédito","Casado/a"
"16593",7,"Hombre","Cheque","Casado/a"
"16594",52.77,"Mujer","Tarjeta de Crédito","Soltero/a"
"16595",107.2125,"Mujer","Efectivo","Casado/a"
"16596",27.66,"Mujer","Tarjeta de Crédito","Casado/a"
"16597",434.705,"Empresa","Otra Tarjeta",""
"16598",93.2275,"Empresa","Cheque",""
"16599",13.95,"Hombre","Tarjeta de Crédito","Soltero/a"
"16600",28.7,"Hombre","Cheque","Soltero/a"
"16601",54.675,"Hombre","Tarjeta de Crédito","Soltero/a"
"16602",23.5,"Hombre","Tarjeta de Crédito","Soltero/a"
"16603",35.25,"Hombre","Cheque","Divorciado/a"
"16604",57.925,"Hombre","Tarjeta de Crédito","Divorciado/a"
"16605",46.825,"Mujer","Tarjeta de Crédito","Soltero/a"
"16606",9.975,"Mujer","Cheque","Soltero/a"
"16607",59.5,"Hombre","Tarjeta de Crédito","Soltero/a"
"16608",41.1,"Hombre","Efectivo","Soltero/a"
"16609",19.7,"Hombre","Tarjeta de Crédito","Soltero/a"
"16610",28.6,"Empresa","Efectivo",""
"16611",45.7,"Empresa","Tarjeta de Crédito",""
"16612",212.57,"Empresa","Cheque",""
"16613",400.33,"Empresa","Tarjeta de Crédito",""
"16614",47.81,"Hombre","Tarjeta de Crédito","Soltero/a"
"16615",21.1,"Hombre","Tarjeta de Crédito","Soltero/a"
"16616",97.61,"Hombre","Tarjeta de Crédito","Soltero/a"
"16617",3.5,"Hombre","Tarjeta de Crédito","Soltero/a"
"16618",64.9625,"Empresa","Cheque",""
"16619",44.145,"Empresa","Tarjeta de Crédito",""
"16620",84.31,"Empresa","Tarjeta de Crédito",""
"16621",38.525,"Empresa","Tarjeta de Crédito",""
"16622",71.25,"Empresa","Tarjeta de Crédito",""
"16623",42.875,"Empresa","Tarjeta de Crédito",""
"16624",36.67,"Mujer","Cheque","Casado/a"
"16625",22.1,"Mujer","Efectivo","Casado/a"
"16626",9.85,"Empresa","Otra Tarjeta",""
"16627",47.5375,"Empresa","Tarjeta de Crédito",""
"16628",55.95,"Empresa","Tarjeta de Crédito",""
"16629",54.6475,"Empresa","Tarjeta de Crédito",""
"16630",26.64,"Empresa","Tarjeta de Crédito",""
"16631",70.2725,"Empresa","Tarjeta de Crédito",""
"16632",4.975,"Empresa","Tarjeta de Crédito",""
"16633",12.5,"Mujer","Tarjeta de Crédito","Casado/a"
"16634",67.87,"Mujer","Tarjeta de Crédito","Casado/a"
"16635",104.99,"Mujer","Tarjeta de Crédito","Casado/a"
"16636",23.235,"Hombre","Efectivo","Soltero/a"
"16637",31.075,"Hombre","Tarjeta de Crédito","Soltero/a"
"16638",6.225,"Hombre","Cheque","Soltero/a"
"16639",18,"Hombre","Tarjeta de Crédito","Soltero/a"
"16640",14.475,"Hombre","Tarjeta de Crédito","Casado/a"
"16641",23.31,"Hombre","Cheque","Casado/a"
"16642",15.9875,"Hombre","Tarjeta de Crédito","Casado/a"
"16643",123.95,"Hombre","Efectivo","Casado/a"
"16644",9.35,"Hombre","Cheque","Soltero/a"
"16645",31.75,"Hombre","Tarjeta de Crédito","Divorciado/a"
"16646",43.1325,"Hombre","Cheque","Divorciado/a"
"16647",29.95,"Mujer","Tarjeta de Crédito","Soltero/a"
"16648",19.95,"Mujer","Tarjeta de Crédito","Soltero/a"
"16649",90.85,"Mujer","Tarjeta de Crédito","Divorciado/a"
"16650",19.375,"Mujer","Tarjeta de Crédito","Divorciado/a"
"16651",7.675,"Mujer","Tarjeta de Crédito","Divorciado/a"
"16652",66.35,"Mujer","Tarjeta de Crédito","Divorciado/a"
"16653",45.81,"Hombre","Cheque","Divorciado/a"
"16654",69.4,"Hombre","Cheque","Divorciado/a"
"16655",9.5125,"Hombre","Otra Tarjeta","Divorciado/a"
"16656",6.225,"Hombre","Tarjeta de Crédito","Divorciado/a"
"16657",6.225,"Hombre","Tarjeta de Crédito","Divorciado/a"
"16658",9.45,"Hombre","Tarjeta de Crédito","Divorciado/a"
"16659",21.225,"Hombre","Cheque","Divorciado/a"
"16660",17.975,"Mujer","Cheque","Soltero/a"
"16661",69.7,"Hombre","Tarjeta de Crédito","Casado/a"
"16662",87.825,"Hombre","Efectivo","Casado/a"
"16663",70.2125,"Hombre","Efectivo","Casado/a"
"16664",19.575,"Hombre","Cheque","Casado/a"
"16665",50,"Hombre","Tarjeta de Crédito","Casado/a"
"16666",135.3625,"Hombre","Tarjeta de Crédito","Casado/a"
"16667",40.425,"Mujer","Tarjeta de Crédito","Casado/a"
"16668",79.67,"Mujer","Otra Tarjeta","Casado/a"
"16669",17.975,"Mujer","Efectivo","Casado/a"
"16670",7.8125,"Mujer","Tarjeta de Crédito","Casado/a"
"16671",96.08,"Empresa","Tarjeta de Crédito",""
"16672",140.835,"Empresa","Tarjeta de Crédito",""
"16673",47.37,"Hombre","Tarjeta de Crédito","Soltero/a"
"16674",16.225,"Hombre","Tarjeta de Crédito","Soltero/a"
"16675",25.7875,"Hombre","Tarjeta de Crédito","Soltero/a"
"16676",30.4,"Hombre","Tarjeta de Crédito","Divorciado/a"
"16677",21.95,"Hombre","Efectivo","Divorciado/a"
"16678",76.0125,"Hombre","Tarjeta de Crédito","Divorciado/a"
"16679",36.7875,"Hombre","Cheque","Divorciado/a"
"16680",17.4,"Mujer","Tarjeta de Crédito","Soltero/a"
"16681",30.1,"Mujer","Cheque","Soltero/a"
"16682",18.7375,"Hombre","Tarjeta de Crédito","Soltero/a"
"16683",7.475,"Hombre","Cheque","Soltero/a"
"16684",153.715,"Empresa","Otra Tarjeta",""
"16685",191.3475,"Empresa","Tarjeta de Crédito",""
"16686",308.3525,"Empresa","Cheque",""
"16687",236.0875,"Empresa","Cheque",""
"16688",4.725,"Hombre","Cheque","Soltero/a"
"16689",14.35,"Hombre","Otra Tarjeta","Soltero/a"
"16690",4.6875,"Hombre","Tarjeta de Crédito","Soltero/a"
"16691",12.11,"Hombre","Efectivo","Soltero/a"
"16692",40.74,"Empresa","Otra Tarjeta",""
"16693",66,"Empresa","Tarjeta de Crédito",""
"16694",3.5,"Empresa","Otra Tarjeta",""
"16695",41.47,"Empresa","Tarjeta de Crédito",""
"16696",36,"Empresa","Tarjeta de Crédito",""
"16697",24.35,"Empresa","Tarjeta de Crédito",""
"16698",29.725,"Empresa","Tarjeta de Crédito",""
"16699",94.85,"Mujer","Tarjeta de Crédito","Casado/a"
"16700",35.005,"Mujer","Tarjeta de Crédito","Casado/a"
"16701",76.765,"Empresa","Efectivo",""
"16702",33.525,"Empresa","Otra Tarjeta",""
"16703",30.05,"Empresa","Cheque",""
"16704",47.75,"Empresa","Efectivo",""
"16705",64.15,"Empresa","Tarjeta de Crédito",""
"16706",79.5,"Empresa","Tarjeta de Crédito",""
"16707",82.3725,"Mujer","Cheque","Casado/a"
"16708",191.98,"Mujer","Cheque","Casado/a"
"16709",10.5375,"Hombre","Tarjeta de Crédito","Soltero/a"
"16710",46.125,"Hombre","Tarjeta de Crédito","Soltero/a"
"16711",39.965,"Hombre","Tarjeta de Crédito","Soltero/a"
"16712",22.5,"Hombre","Cheque","Soltero/a"
"16713",52.05,"Hombre","Cheque","Casado/a"
"16714",14.475,"Hombre","Tarjeta de Crédito","Casado/a"
"16715",13.6025,"Hombre","Cheque","Casado/a"
"16716",3.95,"Hombre","Tarjeta de Crédito","Casado/a"
"16717",5.5625,"Mujer","Tarjeta de Crédito","Soltero/a"
"16718",38.2,"Mujer","Cheque","Soltero/a"
"16719",38.94,"Mujer","Tarjeta de Crédito","Soltero/a"
"16720",24,"Mujer","Tarjeta de Crédito","Soltero/a"
"16721",111.8725,"Mujer","Efectivo","Divorciado/a"
"16722",58.6275,"Mujer","Cheque","Divorciado/a"
"16723",37.7,"Hombre","Otra Tarjeta","Divorciado/a"
"16724",92.9,"Hombre","Tarjeta de Crédito","Divorciado/a"
"16725",24.525,"Hombre","Otra Tarjeta","Divorciado/a"
"16726",120.4125,"Hombre","Efectivo","Divorciado/a"
"16727",22.5875,"Hombre","Tarjeta de Crédito","Divorciado/a"
"16728",29.95,"Hombre","Cheque","Divorciado/a"
"16729",44.465,"Mujer","Tarjeta de Crédito","Soltero/a"
"16730",28.6,"Mujer","Tarjeta de Crédito","Soltero/a"
"16731",18.8,"Mujer","Cheque","Soltero/a"
"16732",49.85,"Mujer","Tarjeta de Crédito","Soltero/a"
"16733",12.11,"Hombre","Tarjeta de Crédito","Casado/a"
"16734",6.225,"Hombre","Tarjeta de Crédito","Casado/a"
